material,condition,contamination,unit,quantity,broken_percentage,condition_score,contamination_score,has_cracks,structural_compromised,has_rust,has_rot,is_moist,has_hazardous_coating,is_separable,recommended_pathway
Concrete,Excellent,None,units,6964.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Damaged,Low,tonnes,5623.8,66.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Damaged,None,cubic metres,4903.4,7.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,Low,tonnes,6816.2,52.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Excellent,None,kg,6441.0,0.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Excellent,High,tonnes,7458.8,84.6,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,High,units,6465.6,43.7,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Moderate,None,tonnes,5900.6,10.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Damaged,Moderate,tonnes,5016.2,30.9,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,Low,kg,4050.2,20.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Good,Low,cubic metres,4792.4,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Moderate,Moderate,cubic metres,5394.4,60.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Moderate,Low,cubic metres,2452.1,12.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Moderate,Low,units,1503.1,15.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Severely Damaged,None,units,7677.8,66.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Moderate,Low,units,655.0,73.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Asphalt,Damaged,Moderate,tonnes,2595.2,40.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Mixed Construction Waste,Damaged,High,units,6775.4,57.9,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Severely Damaged,Moderate,tonnes,4133.8,74.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,None,kg,2360.7,30.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,None,cubic metres,1526.7,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Moderate,None,tonnes,1439.0,44.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Severely Damaged,Hazardous,units,5350.7,78.7,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Moderate,None,tonnes,2388.4,71.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,Low,tonnes,2279.7,29.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Excellent,None,units,4697.3,3.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Damaged,Hazardous,units,7856.8,83.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Good,None,kg,310.7,28.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,None,tonnes,7624.7,4.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Moderate,High,cubic metres,6572.3,59.9,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Excellent,High,kg,2317.7,71.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Damaged,Low,units,1015.8,34.3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Gypsum,Moderate,Moderate,tonnes,6753.7,28.7,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Steel,Good,Hazardous,cubic metres,5446.0,56.6,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,Low,kg,7940.2,41.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Damaged,Low,kg,2000.7,42.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,Low,cubic metres,7575.5,44.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Excellent,Hazardous,tonnes,7004.9,38.4,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,High,kg,4082.7,85.2,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,None,cubic metres,3643.3,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Excellent,High,units,5500.6,68.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Damaged,None,tonnes,7722.1,21.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,cubic metres,3941.2,6.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,None,cubic metres,4613.0,19.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Good,None,units,1967.0,6.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Moderate,Moderate,cubic metres,2569.7,51.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Severely Damaged,Moderate,cubic metres,5472.9,77.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Moderate,Low,cubic metres,7899.3,60.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
